Date,Open,High,Low,Close,Adj Close,Volume
2020-02-04,55.049999,57.169998,55.000000,56.625000,54.370838,27474807
2020-02-05,56.919998,57.200001,55.599998,56.119999,53.885941,15228269
2020-02-06,56.369999,56.540001,55.119999,55.209999,53.012165,9435853
2020-02-07,55.119999,56.180000,54.810001,56.000000,53.770721,9210471
2020-02-10,56.029999,56.439999,55.419998,56.235001,53.996365,12157488
2020-02-11,56.090000,56.790001,55.200001,56.259998,54.020367,14170662
2020-02-12,56.509998,57.080002,56.020000,56.250000,54.010769,11458202
2020-02-13,56.029999,57.400002,55.980000,57.270000,54.990158,11895193
2020-02-14,57.389999,58.320000,56.860001,58.180000,55.863937,9716910
2020-02-17,58.200001,58.480000,57.720001,58.320000,55.998360,2487121
2020-02-18,57.950001,58.740002,57.610001,58.320000,55.998360,11513791
2020-02-19,57.869999,57.880001,55.930000,56.130001,53.895546,16625351
2020-02-20,56.220001,58.290001,55.619999,57.650002,55.355034,17204484
2020-02-21,57.689999,59.090000,57.450001,58.830002,56.488064,18036501
2020-02-24,58.090000,58.090000,56.500000,56.840000,54.577282,21618042
2020-02-25,57.000000,57.169998,56.169998,56.470001,54.222012,13550342
2020-02-26,56.759998,56.889999,55.200001,56.070000,53.837936,17020600
2020-02-27,55.810001,56.639999,55.000000,55.340000,53.136990,21870065
2020-02-28,55.099998,55.939999,54.299999,55.200001,53.002567,36489547
2020-03-02,55.200001,57.980000,55.009998,57.520000,55.230213,23800606
2020-03-03,57.480000,58.490002,56.029999,57.930000,55.623890,18454162
2020-03-04,58.209999,58.799999,57.860001,58.660000,56.324829,15478858
2020-03-05,58.799999,58.799999,56.939999,57.470001,55.182201,12825700
2020-03-06,57.139999,58.380001,55.310001,57.500000,55.211006,14611890
2020-03-09,55.900002,57.099998,54.099998,55.820000,53.597881,22787587
2020-03-10,56.259998,59.529999,55.540001,58.860001,56.516865,17558805
2020-03-11,58.450001,60.130001,57.110001,59.220001,56.862541,21609111
2020-03-12,58.000000,58.360001,54.139999,55.599998,53.386642,36363463
2020-03-13,56.389999,57.980000,54.849998,56.349998,54.106792,23129616
2020-03-17,54.099998,55.000000,47.759998,53.910000,51.763920,53317731
2020-03-18,52.959999,55.959999,51.500000,54.880001,52.695305,30040369
2020-03-19,55.000000,55.000000,51.560001,53.419998,51.293419,29295408
2020-03-20,53.500000,53.799999,50.790001,51.099998,49.065784,60206904
2020-03-23,51.700001,53.290001,49.450001,51.529999,49.478661,13685530
2020-03-24,51.799999,56.169998,51.799999,53.470001,51.341442,27482387
2020-03-25,53.459999,56.340000,52.810001,54.750000,52.570480,17873383
2020-03-26,55.330002,56.189999,53.250000,53.799999,51.658295,16549913
2020-03-27,52.619999,54.419998,51.020000,53.349998,51.226212,15993259
2020-03-30,53.000000,55.490002,52.400002,55.180000,52.983364,12087350
2020-03-31,55.290001,56.849998,54.959999,55.750000,53.530674,24271921
2020-04-01,54.959999,57.000000,54.290001,56.099998,53.866737,12560490
2020-04-02,56.290001,56.560001,54.810001,55.439999,53.233009,10812085
2020-04-03,55.570000,55.939999,52.660000,54.919998,52.733715,14401028
2020-04-06,55.770000,56.200001,54.240002,55.209999,53.012165,16968793
2020-04-07,55.610001,56.669998,55.060001,55.580002,53.367439,10132877
2020-04-08,55.529999,57.000000,55.320000,56.430000,54.183601,11356025
2020-04-13,56.430000,58.000000,56.430000,57.410000,55.124584,7015417
2020-04-14,57.310001,57.689999,54.810001,55.840000,53.617088,13004381
2020-04-15,55.490002,56.150002,53.930000,54.450001,52.282429,18051847
2020-04-16,54.439999,55.900002,54.060001,55.139999,52.944950,20972553
2020-04-17,55.439999,58.000000,55.439999,57.930000,55.623890,15939834
2020-04-20,57.889999,57.889999,56.320000,57.369999,55.086178,13279132
2020-04-21,57.360001,57.360001,55.570000,55.889999,53.665096,11836730
2020-04-22,56.290001,57.250000,56.160000,56.500000,54.250813,15668923
2020-04-23,56.689999,56.689999,55.200001,55.419998,53.213806,16140078
2020-04-24,55.570000,57.340000,55.560001,57.040001,54.769318,26371920
2020-04-27,57.500000,57.939999,56.410000,57.439999,55.153397,11558336
2020-04-28,57.740002,60.500000,57.540001,60.070000,57.678699,25307153
2020-04-29,60.750000,62.709999,59.709999,60.099998,57.707508,20028225
2020-04-30,60.049999,60.049999,56.770000,57.970001,55.662300,23339371
2020-05-04,57.500000,57.950001,56.380001,57.630001,55.335835,14135787
2020-05-05,57.490002,58.110001,56.810001,56.970001,54.702106,11385283
2020-05-06,57.009998,58.639999,57.009998,58.410000,56.084785,14958511
2020-05-07,58.520000,58.880001,57.720001,58.320000,55.998360,13418776
2020-05-08,58.299999,59.570000,58.230000,58.590000,56.257614,11552693
2020-05-11,58.730000,58.779999,57.779999,57.930000,55.623890,10952603
2020-05-12,58.049999,58.889999,57.509998,58.369999,56.046371,10109579
2020-05-13,58.500000,58.549999,57.009998,57.470001,55.182201,11655562
2020-05-14,57.459999,57.459999,56.509998,56.720001,54.462063,13422997
2020-05-15,56.630001,56.709999,55.549999,56.029999,53.799519,13895680
2020-05-18,56.400002,58.799999,56.200001,58.480000,56.151993,9719825
2020-05-19,58.139999,58.340000,56.200001,56.419998,54.173996,14796854
2020-05-20,56.799999,56.830002,55.919998,56.330002,54.087585,15701162
2020-05-21,56.009998,57.040001,55.619999,55.840000,53.617088,7616155
2020-05-22,55.650002,55.970001,55.080002,55.810001,53.588287,5323037
2020-05-25,55.830002,56.279999,55.320000,55.680000,53.463459,1052274
2020-05-26,55.500000,56.580002,54.529999,56.169998,53.933952,16638405
2020-05-27,56.400002,57.290001,56.200001,56.630001,54.375641,11796907
2020-05-28,56.779999,56.889999,55.700001,55.860001,53.636292,15507251
2020-05-29,55.779999,55.779999,54.299999,55.349998,53.146587,41950966
2020-06-01,55.299999,57.049999,55.040001,56.470001,54.222012,7841699
2020-06-02,56.610001,56.610001,54.799999,55.360001,53.156204,23387465
2020-06-03,55.119999,55.869999,54.849998,55.009998,52.820126,38209452
2020-06-04,54.900002,55.279999,54.750000,54.939999,52.752911,38596133
2020-06-05,55.310001,55.590000,55.060001,55.360001,53.156204,31541873
2020-06-08,55.410000,57.439999,55.009998,57.299999,55.018967,22396312
2020-06-09,57.020000,57.250000,55.889999,56.790001,54.529274,16742448
2020-06-10,56.500000,56.790001,55.740002,55.959999,53.732311,15739787
2020-06-11,55.400002,55.930000,54.799999,55.049999,52.858536,14693114
2020-06-12,55.540001,55.770000,54.200001,54.389999,52.224808,14264742
2020-06-15,54.360001,55.810001,54.299999,55.290001,53.088989,12569311
2020-06-16,55.700001,55.740002,54.630001,54.779999,52.599281,7587305
2020-06-17,54.910000,55.480000,54.869999,55.230000,53.031376,15434105
2020-06-18,54.820000,55.389999,54.520000,54.580002,52.407253,6809027
2020-06-19,54.910000,55.320000,54.299999,54.980000,52.791325,56936823
2020-06-22,55.110001,55.200001,54.520000,54.630001,52.714134,6522253
2020-06-23,54.950001,55.209999,54.500000,54.910000,52.984314,14550087
